Source,Target,Type,Kind,Id,Label,Weight,Dénominations
10310,10310,Undirected,,0,,1,
10618,10310,Undirected,,1,,1,
12901,10310,Undirected,,2,,1,
13747,10310,Undirected,,4,,1,
10311,10322,Undirected,,5,,1,
12228,10312,Undirected,,6,,1,
10804,10312,Undirected,,7,,1,
10906,11372,Undirected,,8,,1,
10906,13748,Undirected,,9,,1,
10942,10933,Undirected,,10,,1,
11488,13752,Undirected,,11,,1,
10400,13752,Undirected,,12,,1,
12167,13752,Undirected,,13,,1,
11141,13752,Undirected,,14,,1,
10701,13752,Undirected,,15,,1,
11483,13752,Undirected,,16,,1,
12025,13752,Undirected,,17,,1,
11819,13752,Undirected,,18,,1,
10413,13752,Undirected,,19,,1,
10500,13752,Undirected,,20,,1,
11416,13752,Undirected,,21,,1,
11758,13752,Undirected,,22,,1,
11876,13752,Undirected,,23,,1,
11296,13752,Undirected,,24,,1,
10425,13752,Undirected,,25,,1,
10576,13752,Undirected,,26,,1,
10911,13752,Undirected,,27,,1,
11189,13752,Undirected,,28,,1,
10873,13752,Undirected,,29,,1,
12740,13752,Undirected,,30,,1,
11081,13752,Undirected,,31,,1,
11081,10456,Undirected,,32,,1,
11463,10456,Undirected,,33,,1,
10708,13752,Undirected,,34,,1,
11251,13752,Undirected,,35,,1,
11495,13752,Undirected,,36,,1,
10414,13752,Undirected,,37,,1,
10508,13752,Undirected,,38,,1,
10974,13752,Undirected,,39,,1,
10726,13752,Undirected,,40,,1,
11689,13752,Undirected,,41,,1,
13753,13752,Undirected,,42,,1,
11063,13752,Undirected,,43,,1,
11893,13752,Undirected,,44,,1,
11991,13752,Undirected,,45,,1,
12009,13752,Undirected,,46,,1,
13755,13752,Undirected,,47,,1,
11835,13752,Undirected,,48,,1,
11856,13752,Undirected,,49,,1,
11358,13752,Undirected,,50,,1,
10841,13752,Undirected,,51,,1,
13756,13752,Undirected,,52,,1,
13756,11983,Undirected,,53,,1,
10628,10527,Undirected,,54,,1,
10628,13757,Undirected,,55,,1,
10628,12626,Undirected,,56,,1,
10628,11431,Undirected,,57,,1,
10628,13038,Undirected,,58,,1,
10628,13758,Undirected,,59,,1,
10628,11015,Undirected,,60,,1,
10628,13095,Undirected,,61,,1,
10628,11014,Undirected,,62,,1,
10628,10946,Undirected,,63,,1,
10628,12070,Undirected,,64,,1,
10628,11894,Undirected,Famille,65,,1,
10628,11828,Undirected,Ami,66,,1,
10628,10670,Undirected,,67,,1,
10628,12234,Undirected,,68,,1,
10628,11957,Undirected,,69,,1,
10628,10816,Undirected,,70,,1,
10628,11751,Undirected,,71,,1,
10628,12223,Undirected,,72,,1,
10628,11405,Undirected,,73,,1,
10628,13380,Undirected,,74,,1,
10628,12160,Undirected,,75,,1,
10628,11946,Undirected,,76,,1,
10628,11733,Undirected,,77,,1,
10628,12319,Undirected,,79,,1,
10628,13067,Undirected,,80,,1,
10628,13760,Undirected,,81,,1,
10628,10404,Undirected,,82,,1,
10628,12732,Undirected,,83,,1,
10628,10972,Undirected,,84,,1,
10628,10458,Undirected,,85,,1,
10628,12042,Undirected,,86,,1,
10628,10946,Undirected,,87,,1,
10628,12200,Undirected,,88,,1,
10628,11586,Undirected,,89,,1,
10628,13761,Undirected,,90,,1,
10628,10605,Undirected,,91,,1,
10628,10515,Undirected,En Couple,92,,1,
12381,10561,Undirected,Parent-Enfant,93,,1,
10709,10561,Undirected,Parent-Enfant,94,,1,
10709,12102,Undirected,En Couple,95,,1,
10709,12381,Undirected,Ex,96,,1,
11894,12381,Undirected,Ex,97,,1,
12381,11364,Undirected,,98,,1,
12381,13241,Undirected,,99,,1,
12381,10340,Undirected,En Couple,100,,1,
12381,11828,Undirected,Parent-Enfant,101,,1,
12217,11828,Undirected,En Couple,102,,1,
12876,12015,Undirected,2013->2018,103,,1,
11036,13762,Directed,$$$,104,,1,
12049,13762,Directed,$$$,105,,1,
13763,13762,Undirected,,106,,1,
11037,13762,Directed,$$$,107,,1,
12795,13762,Undirected,,108,,1,
